R0:,B83
R1:,B79
R10:,B75
R11:,B54
R12:,B56
R13:,B12
R14:,B61
R15:,B33
R16:,B50
R17:,B30
R18:,B92
R19:,B94
R2:,B25
R20:,B8
R21:,B84
R22:,B13
R23:,B36
R24:,B32
R25:,B89
R26:,B57
R27:,B4
R28:,B51
R29:,B78
R3:,B59
R30:,B35
R31:,B67
R32:,B34
R33:,B15
R34:,B27
R35:,B97
R36:,B69
R37:,B28
R38:,B38
R39:,B17
R4:,B44
R40:,B49
R41:,B90
R42:,B9
R43:,B74
R44:,B31
R45:,B91
R46:,B29
R47:,B40
R48:,B3
R49:,B11
R5:,B39
R50:,B7
R51:,B47
R52:,B20
R53:,B41
R54:,B26
R55:,B62
R56:,B24
R57:,B82
R58:,B5
R59:,B60
R6:,B73
R60:,B14
R61:,B6
R62:,B42
R63:,B55
R64:,B96
R65:,B46
R66:,B63
R67:,B18
R68:,B95
R69:,B81
R7:,B68
R70:,B64
R71:,B87
R72:,B37
R73:,B72
R74:,B1
R75:,B88
R76:,B2
R77:,B45
R78:,B71
R79:,B48
R8:,B77
R80:,B52
R81:,B43
R82:,B21
R83:,B23
R84:,B98
R85:,B99
R86:,B86
R87:,B58
R88:,B53
R89:,B19
R9:,B0
R90:,B85
R91:,B76
R92:,B80
R93:,B70
R94:,B65
R95:,B10
R96:,B22
R97:,B66
R98:,B16
R99:,B93
