B0:,R96
B1:,R33
B10:,R93
B11:,R73
B12:,R24
B13:,R12
B14:,R35
B15:,R28
B16:,R4
B17:,R54
B18:,R58
B19:,R75
B2:,R76
B20:,R22
B21:,R10
B22:,R65
B23:,R29
B24:,R98
B25:,R77
B26:,R15
B27:,R40
B28:,R48
B29:,R78
B3:,R41
B30:,R16
B31:,R26
B32:,R70
B33:,R3
B34:,R47
B35:,R52
B36:,R86
B37:,R37
B38:,R49
B39:,R17
B4:,R13
B40:,R87
B41:,R5
B42:,R8
B43:,R64
B44:,R83
B45:,R81
B46:,R38
B47:,R27
B48:,R71
B49:,R89
B5:,R11
B50:,R19
B51:,R1
B52:,R9
B53:,R67
B54:,R25
B55:,R95
B56:,R88
B57:,R69
B58:,R59
B59:,R66
B6:,R91
B60:,R99
B61:,R14
B62:,R6
B63:,R36
B64:,R94
B65:,R18
B66:,R84
B67:,R21
B68:,R79
B69:,R55
B7:,R51
B70:,R80
B71:,R85
B72:,R92
B73:,R53
B74:,R68
B75:,R34
B76:,R57
B77:,R62
B78:,R39
B79:,R46
B8:,R23
B80:,R74
B81:,R31
B82:,R42
B83:,R82
B84:,R43
B85:,R32
B86:,R50
B87:,R45
B88:,R20
B89:,R63
B9:,R97
B90:,R2
B91:,R90
B92:,R0
B93:,R7
B94:,R44
B95:,R56
B96:,R30
B97:,R60
B98:,R72
B99:,R61
