R0:,B2,B0,B4,B7,B9,B5,B6,B3,B8,B1,
R1:,B1,B7,B5,B4,B6,B0,B2,B9,B8,B3,
R2:,B2,B7,B8,B1,B9,B4,B3,B5,B0,B6,
R3:,B2,B3,B8,B9,B4,B0,B5,B7,B6,B1,
R4:,B5,B6,B0,B9,B4,B3,B7,B2,B8,B1,
R5:,B0,B6,B3,B5,B1,B9,B2,B7,B4,B8,
R6:,B9,B7,B0,B1,B6,B4,B3,B2,B5,B8,
R7:,B9,B5,B4,B1,B0,B3,B2,B7,B8,B6,
R8:,B0,B1,B3,B7,B8,B9,B2,B5,B4,B6,
R9:,B4,B5,B9,B6,B1,B7,B3,B0,B2,B8,

B0:,R5,R3,R7,R2,R0,R6,R4,R8,R9,R1,
B1:,R4,R0,R1,R5,R7,R6,R2,R9,R3,R8,
B2:,R6,R7,R4,R9,R8,R2,R5,R0,R3,R1,
B3:,R0,R4,R8,R6,R7,R9,R1,R5,R2,R3,
B4:,R0,R5,R9,R2,R7,R6,R8,R1,R3,R4,
B5:,R8,R0,R3,R9,R1,R7,R5,R2,R6,R4,
B6:,R2,R5,R3,R4,R7,R6,R9,R1,R8,R0,
B7:,R5,R7,R0,R3,R2,R4,R6,R9,R8,R1,
B8:,R7,R2,R3,R6,R1,R4,R8,R5,R9,R0,
B9:,R4,R0,R5,R2,R7,R3,R6,R9,R8,R1,
