R0:,B23,B11,B3,B12,B0,B17,B5,B15,B9,B20,B14,B7,B10,B22,B16,B19,B4,B13,B1,B21,B2,B8,B6,B24,B18,
R1:,B1,B24,B0,B18,B13,B12,B6,B14,B11,B19,B9,B5,B7,B10,B2,B15,B8,B4,B21,B3,B23,B16,B17,B20,B22,
R2:,B19,B3,B23,B0,B24,B2,B12,B4,B20,B16,B17,B15,B18,B7,B9,B6,B13,B5,B10,B1,B21,B22,B14,B8,B11,
R3:,B11,B12,B13,B22,B5,B20,B7,B17,B9,B4,B19,B8,B24,B0,B10,B18,B15,B6,B16,B23,B21,B14,B3,B2,B1,
R4:,B7,B3,B2,B16,B22,B18,B21,B6,B0,B19,B14,B23,B9,B10,B5,B15,B4,B1,B8,B20,B12,B11,B13,B24,B17,
R5:,B14,B12,B4,B13,B17,B1,B9,B10,B24,B2,B22,B18,B23,B8,B6,B0,B11,B19,B21,B3,B20,B15,B7,B16,B5,
R6:,B1,B8,B21,B23,B4,B19,B2,B5,B10,B7,B11,B12,B15,B22,B9,B6,B18,B16,B14,B0,B3,B20,B13,B24,B17,
R7:,B3,B10,B2,B14,B5,B4,B17,B13,B0,B9,B8,B18,B21,B24,B11,B23,B15,B22,B1,B19,B7,B6,B12,B16,B20,
R8:,B6,B19,B14,B10,B1,B23,B8,B11,B7,B21,B13,B15,B22,B20,B5,B4,B24,B9,B3,B17,B2,B18,B12,B0,B16,
R9:,B7,B1,B8,B3,B22,B21,B4,B18,B14,B17,B2,B15,B6,B24,B5,B23,B16,B20,B19,B11,B12,B13,B0,B9,B10,
R10:,B2,B7,B13,B6,B15,B20,B8,B23,B1,B14,B18,B16,B0,B10,B3,B11,B17,B24,B19,B9,B22,B5,B21,B12,B4,
R11:,B19,B10,B21,B3,B20,B11,B22,B0,B6,B15,B23,B16,B18,B8,B5,B7,B9,B12,B13,B4,B17,B24,B2,B14,B1,
R12:,B2,B0,B7,B15,B13,B4,B10,B17,B1,B24,B19,B21,B20,B16,B6,B3,B5,B12,B22,B8,B11,B9,B18,B14,B23,
R13:,B7,B15,B3,B22,B12,B16,B4,B17,B24,B1,B8,B14,B18,B9,B11,B13,B5,B6,B19,B20,B2,B23,B10,B0,B21,
R14:,B12,B8,B24,B18,B9,B1,B21,B0,B6,B13,B14,B23,B5,B4,B17,B20,B7,B10,B19,B15,B11,B2,B16,B22,B3,
R15:,B6,B14,B11,B19,B15,B17,B8,B12,B2,B1,B23,B0,B24,B3,B22,B9,B5,B4,B21,B16,B7,B10,B18,B13,B20,
R16:,B2,B7,B5,B24,B18,B11,B3,B0,B16,B6,B4,B19,B14,B13,B8,B21,B23,B10,B9,B17,B12,B15,B22,B20,B1,
R17:,B13,B23,B22,B7,B1,B19,B10,B24,B18,B14,B9,B15,B12,B11,B6,B5,B8,B4,B0,B2,B21,B20,B16,B17,B3,
R18:,B22,B3,B6,B17,B0,B1,B24,B8,B10,B20,B11,B5,B4,B21,B19,B13,B16,B7,B18,B9,B15,B2,B12,B23,B14,
R19:,B22,B8,B0,B24,B18,B7,B3,B13,B17,B9,B1,B2,B15,B10,B4,B16,B21,B20,B23,B19,B6,B12,B14,B5,B11,
R20:,B16,B1,B21,B2,B23,B14,B24,B8,B10,B6,B4,B13,B9,B11,B19,B12,B0,B15,B22,B5,B7,B20,B3,B18,B17,
R21:,B10,B16,B3,B18,B2,B17,B7,B0,B23,B21,B6,B24,B13,B15,B20,B1,B12,B9,B22,B8,B14,B4,B5,B19,B11,
R22:,B16,B10,B9,B7,B2,B20,B1,B4,B19,B5,B15,B18,B3,B11,B13,B0,B6,B22,B12,B14,B21,B8,B23,B24,B17,
R23:,B5,B17,B23,B15,B21,B11,B13,B12,B2,B8,B24,B22,B18,B7,B14,B9,B20,B4,B3,B6,B19,B16,B1,B10,B0,
R24:,B12,B19,B1,B4,B16,B21,B9,B2,B7,B5,B6,B20,B24,B3,B17,B15,B18,B22,B13,B0,B8,B14,B23,B11,B10,

B0:,R15,R16,R13,R0,R7,R6,R5,R21,R18,R2,R19,R17,R14,R20,R4,R24,R22,R8,R11,R1,R3,R23,R9,R12,R10,
B1:,R21,R2,R18,R20,R3,R10,R1,R8,R7,R11,R24,R9,R16,R13,R5,R12,R19,R23,R17,R0,R22,R15,R4,R6,R14,
B2:,R22,R7,R23,R21,R10,R13,R19,R2,R17,R5,R12,R3,R4,R8,R15,R20,R6,R16,R14,R24,R0,R9,R1,R18,R11,
B3:,R18,R0,R9,R7,R3,R11,R19,R14,R2,R13,R20,R21,R6,R15,R17,R22,R4,R12,R8,R23,R24,R10,R5,R1,R16,
B4:,R24,R4,R19,R18,R16,R21,R1,R17,R8,R10,R14,R7,R0,R3,R13,R15,R11,R12,R20,R23,R2,R9,R5,R6,R22,
B5:,R8,R17,R3,R10,R2,R13,R9,R19,R0,R4,R14,R7,R15,R22,R20,R5,R23,R24,R16,R11,R12,R6,R21,R18,R1,
B6:,R14,R16,R22,R8,R0,R17,R9,R18,R7,R12,R23,R6,R10,R3,R24,R1,R20,R11,R4,R2,R5,R13,R15,R19,R21,
B7:,R10,R6,R16,R3,R15,R4,R2,R18,R24,R5,R9,R23,R12,R21,R1,R11,R7,R19,R13,R22,R0,R14,R17,R20,R8,
B8:,R0,R18,R12,R14,R1,R6,R5,R4,R19,R2,R3,R22,R10,R20,R9,R16,R17,R23,R21,R8,R11,R24,R15,R13,R7,
B9:,R8,R16,R15,R20,R4,R7,R10,R22,R3,R11,R19,R17,R18,R9,R23,R14,R1,R6,R2,R13,R5,R12,R21,R0,R24,
B10:,R14,R16,R5,R4,R2,R11,R18,R23,R19,R12,R7,R0,R3,R6,R20,R21,R1,R13,R15,R8,R10,R9,R22,R24,R17,
B11:,R17,R23,R13,R21,R22,R7,R18,R15,R1,R11,R14,R2,R8,R4,R3,R9,R24,R5,R19,R0,R20,R16,R12,R10,R6,
B12:,R20,R8,R2,R3,R18,R12,R24,R19,R6,R1,R0,R21,R11,R14,R10,R16,R4,R13,R7,R17,R15,R23,R5,R9,R22,
B13:,R0,R1,R17,R3,R6,R5,R23,R14,R22,R12,R19,R20,R13,R11,R2,R21,R16,R7,R15,R8,R18,R9,R24,R4,R10,
B14:,R15,R2,R20,R13,R4,R7,R5,R6,R12,R23,R14,R1,R9,R3,R21,R18,R24,R19,R22,R17,R0,R8,R16,R10,R11,
B15:,R23,R16,R24,R10,R6,R1,R12,R15,R9,R18,R19,R5,R8,R4,R21,R13,R20,R11,R17,R3,R7,R14,R0,R22,R2,
B16:,R4,R18,R9,R11,R10,R5,R21,R14,R0,R17,R1,R6,R2,R20,R23,R22,R12,R8,R7,R13,R24,R15,R16,R3,R19,
B17:,R7,R10,R20,R3,R4,R11,R6,R17,R9,R24,R14,R8,R13,R21,R2,R1,R5,R18,R23,R22,R0,R15,R12,R19,R16,
B18:,R13,R5,R24,R4,R2,R3,R8,R15,R14,R1,R23,R17,R20,R19,R9,R7,R6,R18,R12,R22,R16,R11,R0,R10,R21,
B19:,R1,R9,R18,R16,R5,R2,R11,R10,R21,R24,R23,R19,R3,R8,R4,R14,R17,R15,R0,R6,R20,R22,R13,R12,R7,
B20:,R5,R16,R7,R17,R15,R8,R1,R22,R13,R23,R12,R2,R19,R11,R9,R4,R10,R3,R21,R20,R6,R24,R0,R18,R14,
B21:,R17,R24,R20,R5,R4,R12,R7,R23,R22,R10,R15,R6,R13,R21,R8,R11,R0,R14,R3,R2,R9,R16,R1,R18,R19,
B22:,R19,R8,R2,R13,R14,R12,R16,R23,R6,R22,R3,R5,R21,R9,R24,R20,R18,R0,R7,R15,R1,R17,R10,R4,R11,
B23:,R20,R14,R18,R12,R3,R6,R24,R13,R2,R9,R1,R23,R19,R15,R11,R8,R10,R0,R4,R5,R16,R22,R17,R21,R7,
B24:,R4,R10,R1,R23,R5,R6,R20,R15,R9,R7,R14,R11,R2,R17,R21,R16,R13,R0,R8,R19,R18,R22,R24,R12,R3,
