B0:,R9,R16,R4,R22,R10,R18,R2,R1,R24,R21,R3,R15,R13,R5,R20,R19,R14,R8,R23,R0,R7,R17,R6,R11,R12,
B1:,R16,R21,R6,R3,R24,R14,R23,R1,R10,R13,R8,R4,R9,R5,R22,R0,R18,R20,R17,R2,R15,R12,R7,R11,R19,
B2:,R4,R0,R17,R19,R1,R23,R13,R10,R18,R21,R22,R9,R20,R3,R12,R8,R7,R15,R6,R16,R2,R5,R14,R24,R11,
B3:,R0,R18,R13,R1,R11,R5,R21,R2,R6,R15,R16,R20,R7,R17,R10,R9,R12,R4,R8,R19,R14,R22,R23,R24,R3,
B4:,R15,R19,R7,R9,R23,R0,R2,R14,R10,R8,R24,R1,R20,R4,R3,R12,R22,R18,R21,R13,R6,R5,R11,R17,R16,
B5:,R6,R19,R24,R23,R18,R21,R10,R1,R0,R4,R9,R8,R5,R3,R16,R2,R13,R12,R11,R22,R14,R17,R15,R7,R20,
B6:,R7,R4,R17,R16,R9,R18,R14,R13,R23,R3,R22,R2,R10,R8,R6,R20,R12,R19,R11,R5,R0,R15,R21,R1,R24,
B7:,R12,R10,R11,R19,R5,R16,R2,R22,R6,R23,R17,R0,R1,R8,R18,R21,R3,R4,R7,R14,R24,R15,R20,R9,R13,
B8:,R10,R20,R3,R15,R13,R19,R24,R4,R5,R23,R0,R9,R21,R22,R2,R6,R7,R18,R16,R8,R12,R14,R1,R17,R11,
B9:,R3,R7,R21,R5,R23,R17,R20,R22,R8,R6,R11,R19,R15,R12,R16,R2,R24,R9,R18,R10,R1,R4,R0,R13,R14,
B10:,R22,R11,R24,R16,R2,R13,R9,R12,R23,R8,R20,R17,R10,R21,R7,R15,R19,R6,R4,R5,R3,R14,R18,R0,R1,
B11:,R6,R7,R21,R0,R1,R4,R3,R9,R8,R18,R16,R15,R5,R12,R24,R20,R19,R2,R23,R14,R11,R22,R10,R17,R13,
B12:,R15,R12,R14,R2,R13,R18,R4,R9,R24,R17,R19,R16,R21,R22,R20,R1,R11,R3,R8,R23,R5,R6,R10,R0,R7,
B13:,R19,R18,R24,R6,R4,R16,R8,R23,R14,R9,R17,R21,R0,R15,R1,R13,R3,R12,R10,R20,R11,R5,R22,R2,R7,
B14:,R12,R5,R24,R22,R15,R0,R17,R8,R10,R23,R20,R14,R6,R19,R1,R9,R16,R7,R11,R4,R13,R21,R2,R18,R3,
B15:,R15,R5,R20,R3,R6,R13,R16,R10,R12,R22,R11,R4,R9,R23,R2,R19,R18,R14,R17,R21,R8,R7,R24,R1,R0,
