B0:,R4,R3,R7,R6,R0,R9,R2,R8,R5,R1,
B1:,R7,R0,R2,R5,R1,R3,R4,R6,R9,R8,
B2:,R7,R6,R4,R9,R5,R0,R3,R1,R8,R2,
B3:,R6,R2,R4,R0,R7,R5,R3,R1,R9,R8,
B4:,R6,R2,R1,R3,R9,R7,R0,R4,R8,R5,
B5:,R9,R5,R7,R4,R3,R0,R2,R8,R6,R1,
B6:,R6,R0,R7,R5,R2,R1,R4,R3,R8,R9,
B7:,R0,R5,R9,R8,R4,R7,R6,R1,R3,R2,
B8:,R9,R1,R3,R4,R0,R2,R5,R7,R8,R6,
B9:,R4,R7,R6,R0,R8,R3,R1,R2,R9,R5,

R0:,B3,B2,B5,B1,B4,B9,B6,B8,B0,B7,
R1:,B9,B2,B8,B5,B1,B3,B0,B6,B4,B7,
R2:,B9,B8,B0,B6,B4,B5,B7,B1,B2,B3,
R3:,B8,B0,B3,B7,B2,B9,B6,B5,B1,B4,
R4:,B9,B0,B7,B3,B1,B8,B5,B2,B6,B4,
R5:,B0,B5,B8,B1,B7,B4,B2,B9,B3,B6,
R6:,B7,B6,B5,B0,B8,B2,B4,B3,B9,B1,
R7:,B8,B9,B6,B0,B3,B5,B2,B4,B1,B7,
R8:,B1,B6,B0,B7,B5,B8,B3,B2,B4,B9,
R9:,B4,B9,B3,B1,B0,B6,B5,B2,B8,B7,
