R0:,B95,B70,B20,B59,B52,B45,B28,B73,B46,B64,B40,B69,B84,B62,B79,B99,B56,B91,B50,B4,B27,B6,B89,B30,B10,B97,B2,B26,B57,B83,B7,B74,B58,B93,B36,B51,B81,B94,B78,B39,B47,B12,B14,B43,B88,B92,B35,B29,B21,B67,B8,B60,B42,B33,B38,B23,B82,B63,B66,B41,B68,B22,B24,B96,B87,B53,B65,B76,B15,B5,B32,B85,B55,B86,B49,B37,B77,B19,B61,B54,B80,B25,B72,B48,B17,B11,B16,B3,B1,B44,B13,B75,B90,B31,B9,B0,B98,B34,B71,B18,
R1:,B30,B22,B87,B34,B76,B98,B92,B79,B54,B52,B3,B47,B88,B18,B96,B24,B12,B85,B94,B26,B1,B70,B66,B55,B9,B63,B41,B73,B50,B46,B84,B2,B75,B44,B61,B23,B93,B29,B16,B72,B21,B8,B4,B25,B60,B31,B89,B91,B58,B95,B65,B7,B53,B11,B99,B86,B42,B82,B20,B64,B15,B43,B62,B56,B0,B67,B68,B37,B10,B51,B33,B32,B5,B45,B90,B13,B40,B28,B14,B27,B19,B35,B69,B39,B74,B80,B48,B17,B83,B57,B49,B6,B97,B71,B77,B81,B59,B36,B78,B38,
R2:,B22,B16,B84,B92,B89,B10,B42,B71,B47,B38,B86,B8,B28,B69,B49,B72,B36,B20,B50,B97,B32,B53,B46,B4,B76,B17,B3,B99,B83,B81,B60,B51,B87,B11,B39,B98,B75,B93,B79,B73,B74,B5,B57,B44,B95,B40,B64,B13,B0,B2,B78,B29,B9,B54,B56,B70,B41,B35,B91,B85,B14,B7,B66,B77,B27,B45,B48,B26,B94,B1,B52,B63,B82,B12,B30,B18,B15,B88,B24,B58,B65,B62,B37,B67,B23,B96,B21,B55,B59,B68,B25,B80,B19,B61,B31,B6,B34,B90,B43,B33,
R3:,B14,B55,B26,B0,B98,B46,B78,B92,B33,B64,B81,B66,B82,B13,B19,B60,B10,B71,B37,B45,B24,B53,B87,B12,B1,B50,B75,B51,B39,B57,B2,B44,B34,B36,B96,B67,B86,B63,B16,B38,B99,B80,B25,B97,B61,B91,B40,B8,B23,B35,B95,B76,B43,B84,B58,B47,B28,B5,B42,B83,B94,B88,B52,B90,B59,B18,B27,B3,B79,B32,B77,B65,B29,B54,B69,B89,B74,B56,B49,B20,B17,B30,B62,B73,B85,B9,B48,B21,B68,B4,B7,B22,B41,B11,B15,B6,B31,B72,B70,B93,
R4:,B32,B63,B34,B42,B67,B44,B70,B45,B2,B89,B53,B95,B8,B52,B12,B68,B9,B43,B61,B87,B6,B51,B85,B7,B78,B13,B84,B82,B28,B48,B62,B3,B60,B56,B64,B16,B73,B37,B29,B39,B40,B21,B93,B25,B57,B47,B55,B79,B36,B66,B24,B46,B81,B31,B77,B92,B0,B90,B96,B23,B14,B80,B83,B69,B5,B59,B17,B27,B26,B22,B20,B19,B50,B30,B4,B11,B98,B33,B71,B94,B88,B15,B1,B86,B76,B38,B41,B74,B65,B72,B10,B58,B75,B91,B35,B49,B99,B97,B18,B54,
R5:,B87,B45,B99,B34,B86,B64,B91,B95,B84,B92,B35,B32,B47,B89,B52,B65,B36,B11,B1,B66,B83,B82,B54,B51,B61,B88,B75,B17,B30,B6,B77,B81,B69,B42,B24,B60,B18,B94,B21,B56,B70,B29,B98,B39,B71,B7,B9,B59,B4,B74,B19,B14,B90,B37,B31,B28,B44,B46,B8,B96,B62,B33,B2,B50,B73,B16,B38,B67,B93,B53,B58,B68,B10,B72,B15,B41,B48,B13,B40,B97,B57,B43,B23,B78,B85,B76,B25,B63,B5,B20,B49,B3,B79,B26,B55,B22,B12,B0,B27,B80,
R6:,B60,B86,B64,B79,B47,B45,B14,B59,B98,B48,B84,B51,B52,B68,B89,B67,B76,B29,B19,B11,B15,B28,B13,B65,B31,B26,B4,B56,B62,B30,B93,B66,B24,B18,B92,B53,B36,B73,B33,B25,B97,B88,B27,B42,B8,B72,B83,B55,B99,B44,B46,B41,B50,B0,B74,B38,B69,B96,B77,B70,B58,B78,B7,B20,B80,B81,B10,B23,B2,B32,B1,B49,B54,B16,B95,B6,B35,B39,B12,B85,B37,B94,B71,B22,B90,B82,B17,B9,B3,B61,B34,B57,B91,B40,B21,B63,B43,B87,B5,B75,
R7:,B2,B81,B31,B7,B64,B54,B52,B89,B68,B18,B93,B33,B36,B0,B76,B98,B94,B45,B35,B29,B23,B37,B80,B82,B99,B87,B72,B57,B40,B88,B48,B21,B1,B17,B96,B4,B61,B43,B66,B8,B74,B53,B42,B63,B83,B49,B22,B50,B84,B97,B16,B70,B6,B15,B47,B51,B24,B59,B60,B28,B27,B90,B67,B32,B95,B39,B44,B69,B12,B25,B92,B9,B62,B30,B79,B11,B78,B65,B75,B20,B46,B71,B56,B38,B86,B3,B13,B19,B73,B34,B26,B41,B55,B10,B14,B91,B77,B5,B85,B58,
R8:,B92,B68,B43,B96,B74,B33,B78,B12,B95,B18,B5,B26,B66,B1,B86,B42,B98,B59,B71,B61,B20,B17,B19,B94,B23,B49,B85,B6,B16,B87,B2,B39,B53,B50,B27,B57,B44,B21,B63,B56,B72,B60,B83,B10,B76,B35,B0,B3,B58,B77,B99,B47,B9,B45,B88,B84,B64,B69,B55,B93,B62,B4,B79,B29,B25,B80,B30,B82,B67,B31,B28,B11,B52,B15,B24,B54,B8,B7,B34,B51,B13,B38,B40,B97,B37,B14,B70,B73,B36,B75,B32,B89,B91,B48,B22,B41,B46,B65,B81,B90,
R9:,B95,B57,B65,B27,B46,B97,B90,B50,B98,B44,B30,B54,B20,B8,B12,B29,B84,B14,B36,B15,B88,B49,B42,B92,B26,B28,B71,B34,B0,B80,B83,B6,B75,B69,B72,B55,B25,B67,B53,B70,B5,B22,B18,B17,B89,B47,B60,B85,B51,B40,B9,B94,B31,B45,B77,B96,B41,B43,B58,B81,B68,B24,B21,B91,B13,B78,B82,B59,B7,B35,B16,B99,B64,B66,B39,B86,B73,B19,B37,B61,B4,B87,B11,B32,B2,B10,B63,B93,B48,B74,B76,B79,B52,B38,B1,B3,B33,B56,B23,B62,
