R0:,B24
R1:,B9
R10:,B19
R11:,B83
R12:,B86
R13:,B61
R14:,B51
R15:,B79
R16:,B52
R17:,B85
R18:,B92
R19:,B56
R2:,B93
R20:,B88
R21:,B70
R22:,B8
R23:,B89
R24:,B39
R25:,B90
R26:,B95
R27:,B42
R28:,B87
R29:,B57
R3:,B71
R30:,B15
R31:,B16
R32:,B18
R33:,B12
R34:,B60
R35:,B96
R36:,B40
R37:,B80
R38:,B65
R39:,B48
R4:,B17
R40:,B33
R41:,B29
R42:,B69
R43:,B23
R44:,B63
R45:,B31
R46:,B3
R47:,B94
R48:,B91
R49:,B84
R5:,B62
R50:,B45
R51:,B75
R52:,B27
R53:,B2
R54:,B98
R55:,B82
R56:,B64
R57:,B76
R58:,B25
R59:,B44
R6:,B20
R60:,B14
R61:,B22
R62:,B50
R63:,B37
R64:,B49
R65:,B81
R66:,B11
R67:,B0
R68:,B67
R69:,B10
R7:,B28
R70:,B43
R71:,B53
R72:,B54
R73:,B77
R74:,B4
R75:,B32
R76:,B30
R77:,B21
R78:,B34
R79:,B35
R8:,B38
R80:,B13
R81:,B6
R82:,B66
R83:,B73
R84:,B36
R85:,B99
R86:,B58
R87:,B78
R88:,B7
R89:,B5
R9:,B1
R90:,B47
R91:,B46
R92:,B41
R93:,B59
R94:,B74
R95:,B55
R96:,B97
R97:,B72
R98:,B68
R99:,B26
