R0:,B4
R1:,B35
R10:,B0
R11:,B26
R12:,B75
R13:,B98
R14:,B83
R15:,B55
R16:,B87
R17:,B63
R18:,B33
R19:,B38
R2:,B21
R20:,B60
R21:,B32
R22:,B3
R23:,B58
R24:,B7
R25:,B14
R26:,B90
R27:,B50
R28:,B97
R29:,B36
R3:,B24
R30:,B79
R31:,B69
R32:,B15
R33:,B30
R34:,B47
R35:,B19
R36:,B34
R37:,B29
R38:,B22
R39:,B93
R4:,B44
R40:,B27
R41:,B89
R42:,B40
R43:,B82
R44:,B70
R45:,B85
R46:,B42
R47:,B57
R48:,B37
R49:,B94
R5:,B73
R50:,B67
R51:,B64
R52:,B99
R53:,B46
R54:,B96
R55:,B92
R56:,B5
R57:,B16
R58:,B18
R59:,B9
R6:,B52
R60:,B61
R61:,B74
R62:,B78
R63:,B86
R64:,B25
R65:,B80
R66:,B68
R67:,B51
R68:,B65
R69:,B2
R7:,B43
R70:,B10
R71:,B59
R72:,B84
R73:,B71
R74:,B72
R75:,B54
R76:,B28
R77:,B20
R78:,B12
R79:,B17
R8:,B91
R80:,B88
R81:,B62
R82:,B95
R83:,B81
R84:,B31
R85:,B66
R86:,B13
R87:,B48
R88:,B56
R89:,B6
R9:,B49
R90:,B41
R91:,B1
R92:,B76
R93:,B45
R94:,B23
R95:,B11
R96:,B8
R97:,B77
R98:,B39
R99:,B53
